num,length,end,level
882,25,28627,REAL
883,28,28655,REAL
884,58,28713,REAL
885,28,28741,REAL
886,15,28756,REAL
887,14,28770,REAL
888,19,28789,REAL
889,54,28843,REAL
890,50,28893,REAL
891,19,28912,REAL
892,29,28941,REAL
893,17,28958,REAL
894,16,28974,REAL
895,16,28990,REAL
896,41,29031,REAL
897,123,29154,REAL
898,16,29170,REAL
899,22,29192,REAL
900,43,29235,REAL
901,39,29274,REAL
902,38,29312,REAL
903,50,29362,REAL
904,35,29397,REAL
905,25,29422,REAL
906,16,29438,REAL
907,12,29450,REAL
908,25,29475,REAL
909,13,29488,REAL
910,11,29499,REAL
911,43,29542,REAL
912,27,29569,REAL
913,44,29613,REAL
914,55,29668,REAL
915,47,29715,REAL
916,83,29798,REAL
917,77,29875,REAL
918,25,29900,REAL
919,17,29917,REAL
920,12,29929,REAL
921,13,29942,REAL
922,13,29955,REAL
923,57,30012,REAL
924,30,30042,REAL
925,23,30065,REAL
926,57,30122,REAL
927,69,30191,REAL
928,15,30206,REAL
929,98,30304,REAL
930,40,30344,REAL
931,33,30377,REAL
932,30,30407,REAL
933,47,30454,DL1
934,70,30524,DL1
935,27,30551,DL1
936,39,30590,REAL
937,13,30603,REAL
938,58,30661,REAL
939,27,30688,REAL
940,32,30720,REAL
941,25,30745,REAL
942,23,30768,REAL
943,44,30812,REAL
944,16,30828,REAL
945,34,30862,REAL
946,33,30895,REAL
947,13,30908,REAL
948,68,30976,REAL
949,49,31025,REAL
950,41,31066,REAL
951,44,31110,REAL
952,22,31132,REAL
953,25,31157,REAL
954,16,31173,REAL
955,61,31234,REAL
956,12,31246,REAL
957,30,31276,REAL
958,41,31317,REAL
959,38,31355,REAL
960,32,31387,REAL
961,60,31447,REAL
962,18,31465,REAL
963,20,31485,REAL
964,18,31503,REAL
965,42,31545,REAL
966,32,31577,REAL
967,91,31668,REAL
968,53,31721,REAL
969,50,31771,REAL
970,20,31791,REAL
971,13,31804,REAL
972,25,31829,REAL
973,18,31847,REAL
974,11,31858,REAL
975,11,31869,REAL
976,30,31899,REAL
977,10,31909,REAL
978,22,31931,REAL
979,87,32018,REAL
980,16,32034,REAL
981,15,32049,REAL
982,19,32068,REAL
983,50,32118,REAL
984,32,32150,REAL
985,26,32176,REAL
